Spoken,Math,Args,OnlyM,GlueL,GlueR,All,LaTeX,HTML
zero,1,0,0,0,0,0,,
one,1,0,1,0,0,1,,
two,1,0,0,0,0,2,,
to,1,0,1,0,0,2,,
too,1,0,1,0,0,2,,
three,1,0,0,0,0,3,,
four,1,0,0,0,0,4,,
for,1,0,1,0,0,4,,
five,1,0,0,0,0,5,,
six,1,0,0,0,0,6,,
sicks,1,0,0,0,0,6,,
seven,1,0,0,0,0,7,,
eight,1,0,0,0,0,8,,
nine,1,0,0,0,0,9,,
ten,1,0,0,0,0,10,,
able,1,0,0,0,0,a,,
abel,1,0,0,0,0,a,,
bravo,1,0,0,0,0,b,,
charlie,1,0,0,0,0,c,,
dark,1,0,0,0,0,d,,
echo,1,0,0,0,0,e,,
foxtrot,1,0,0,0,0,f,,
golf,1,0,0,0,0,g,,
hotel,1,0,0,0,0,h,,
india,1,0,0,0,0,i,,
juliet,1,0,0,0,0,j,,
juliett,1,0,0,0,0,j,,
kilo,1,0,0,0,0,k,,
lima,1,0,0,0,0,l,,
mike,1,0,0,0,0,m,,
mic,1,0,0,0,0,m,,
november,1,0,0,0,0,n,,
oscar,1,0,0,0,0,o,,
papa,1,0,0,0,0,p,,
poppa,1,0,0,0,0,p,,
quick,1,0,0,0,0,q,,
romeo,1,0,0,0,0,r,,
sierra,1,0,0,0,0,s,,
tango,1,0,0,0,0,t,,
uniform,1,0,0,0,0,u,,
victor,1,0,0,0,0,v,,
whiskey,1,0,0,0,0,w,,
x - ray,1,0,0,0,0,x,,
x-ray,1,0,0,0,0,x,,
yankee,1,0,0,0,0,y,,
zulu,1,0,0,0,0,z,,
apple,1,0,0,0,0,A,,
banana,1,0,0,0,0,B,,
coral,1,0,0,0,0,C,,
diamond,1,0,0,0,0,D,,
elder,1,0,0,0,0,E,,
fossil,1,0,0,0,0,F,,
grape,1,0,0,0,0,G,,
honey,1,0,0,0,0,H,,
igloo,1,0,0,0,0,I,,
juniper,1,0,0,0,0,J,,
kiwi,1,0,0,0,0,K,,
lemon,1,0,0,0,0,L,,
melon,1,0,0,0,0,M,,
mellon,1,0,0,0,0,M,,
nectar,1,0,0,0,0,N,,
orange,1,0,0,0,0,O,,
peach,1,0,0,0,0,P,,
quince,1,0,0,0,0,Q,,
ribbon,1,0,0,0,0,R,,
straw,1,0,0,0,0,S,,
tomato,1,0,0,0,0,T,,
ugly,1,0,0,0,0,U,,
venom,1,0,0,0,0,V,,
water,1,0,0,0,0,W,,
xylem,1,0,0,0,0,X,,
yogurt,1,0,0,0,0,Y,,
zebra,1,0,0,0,0,Z,,
alpha,1,0,0,0,0,\alpha,,
beta,1,0,0,0,0,\beta,,
gamma,1,0,0,0,0,\gamma,,
delta,1,0,0,0,0,\delta,,
epsilon,1,0,0,0,0,\epsilon,,
cheeks,1,0,0,0,0,\varepsilon
zeta,1,0,0,0,0,\zeta,,
eta,1,0,0,0,0,\eta,,
theater,1,0,0,0,0,\theta,,
iota,1,0,0,0,0,\iota,,
clapper,1,0,0,0,0,\kappa,,
lambda,1,0,0,0,0,\lambda,,
music,1,0,0,0,0,\mu,,
news,1,0,0,0,0,\nu,,
fox,1,0,0,0,0,\omicron,,
omicron,1,0,0,0,0,\omicron,,
pie,1,0,0,0,0,\pi,,
pi,1,0,0,0,0,\pi,,
royal,1,0,0,0,0,\rho,,
sigma,1,0,0,0,0,\sigma,,
towel,1,0,0,0,0,\tau,,
upsilon,1,0,0,0,0,\upsilon,,
fee,1,0,0,0,0,\phi,,
phi,1,0,0,0,0,\phi,,
shoe,1,0,0,0,0,\chi,,
xander,1,0,0,0,0,\xi,,
curly,1,0,0,0,0,\varphi,,
shu,1,0,0,0,0,\chi,,
shoo,1,0,0,0,0,\chi,,
sigh,1,0,0,0,0,\psi,,
psi,1,0,0,0,0,\psi,,
omega,1,0,0,0,0,\omega,,
gallows,1,0,0,0,0,\Gamma,,
dolphin,1,0,0,0,0,\Delta,,
equator,1,0,0,0,0,\Theta,,
pointy,1,0,0,0,0,\Lambda,,
patio,1,0,0,0,0,\Pi,,
grip,1,0,0,0,0,\Sigma,,
fountain,1,0,0,0,0,\Upsilon,,
slice,1,0,0,0,0,\Phi,,
candle,1,0,0,0,0,\Psi,,
horseshoe,1,0,0,0,0,\Omega,,
crosshair,1,0,0,0,0,\Xi,,
cross hair,1,0,0,0,0,\Xi,,
plus,1,0,0,0,0,+,,
negative,1,0,0,0,1,-,,
minus,1,0,0,0,0,-,,
factorial,1,0,0,1,0,!,,
negation,1,0,1,0,0,\neg,,
below,1,0,0,0,0,<,,
less than,1,0,0,0,0,<,,
is below,1,0,0,0,0,<,,
is less than,1,0,0,0,0,<,,
above,1,0,0,0,0,>,,
